operation_id,main_operation,sub_operation,process_stage_order,operational_area,energy_criticality,typical_schedule
91340540,Mine Development,Grade-control drilling,1,Open pit - ore zones,Medium,24-Jul
24914615,MINE DEVELOPMENT,Blast-hole drilling,2,Open pit - active benches,High,24-Jul
62814762,MINE DEVELOPMENT,Blasting support,3,Open pit - active benches,Medium,Day shift
77640743,mine development ,Pit dewatering,4,Open pit sumps,High,24-Jul
83276760,Mine Development,Haul-road maintenance,5,Pit and waste routes,Medium,24-Jul
61354486,Materials Handling,Excavating and loading,6,Open pit loading faces,High,24-Jul
49569161,Materials Handling,Ore hauling,7,Pit to ROM pad,High,24-Jul
98042943,Materials Handling,Waste hauling,8,Pit to waste dumps,High,24-Jul
34819938,materials handling,Dozing and grading,9,Pit and stockpiles,Medium,24-Jul
98788663,Materials Handling,Stockpile Reclaim,10,ROM stockpile,High,24-Jul
81519267,Mineral Processing,Primary crushing,11,Crusher area,High,24-Jul
60096075,Mineral Processing,Secondary crushing,12,Crusher area,High,24-Jul
58956654,mineral processing,SAG milling,13,Grinding circuit,Critical,24-Jul
28215636,Mineral Processing,Ball milling,14,Grinding circuit,Critical,24-Jul
45769449,MINERAL PROCESSING,Flotation,15,Flotation circuit,Critical,24-Jul
47686418,Mineral Processing,Concentrate thickening,16,Concentrate handling,High,24-Jul
15289718,Mineral Processing,Concentrate filtration,17,Concentrate handling,High,24-Jul
21323883,Mineral Processing,Concentrate drying,18,Concentrate handling,,24-Jul
10655743,TAILINGS AND WATER,Tailings pumping,19,Plant to TSF,Critical,24-Jul
73641141,Tailings and Water,Tailings thickening,20,Tailings plant,High,24-Jul
73642032,Tailings and Water,Reclaim-water pumping,21,TSF to plant,High,24-Jul
36955136,Tailings and Water,Raw-water pumping,22,Borefield to site,High,24-Jul
68659338,Tailings and Water,Water treatment,23,Water services,Medium,24-Jul
40629202,Site Services,Workshop maintenance,24,Heavy vehicle workshop,Medium,Two shifts
85836525,SITE SERVICES,Administration and camp,25,Village and offices,Low,24-Jul
10469108,Site Services,Lighting and communications,26,Site-wide,Medium,24-Jul
45614007,site services,Laboratory,27,Process laboratory,Medium,Two shifts
